"matchday","team1","team2","score1","score2","goal1","goal2","res","season"
"1","Zoggiathebest99 Team","Fanta Figa",NA,NA,"3","0","3-0","2020/2021"
"15","Zoggiathebest99 Team","Fanta Figa",NA,NA,"1","2","1-2","2020/2021"
"3","Hakimi Raikkonen","Fanta Figa",NA,NA,"2","3","2-3","2020/2021"
"31","Hakimi Raikkonen","Fanta Figa",NA,NA,"4","3","4-3","2020/2021"
"30","Aston Pirla","Fanta Figa",NA,NA,"1","2","1-2","2020/2021"
"35","Joe Gage FC","Fanta Figa",NA,NA,"2","4","2-4","2020/2021"
"14","Joe Gage FC","Fanta Figa",NA,NA,"0","3","0-3","2020/2021"
"8","Zoggiathebest99 Team","Fanta Figa",NA,NA,"3","1","3-1","2020/2021"
"22","Zoggiathebest99 Team","Fanta Figa",NA,NA,"2","4","2-4","2020/2021"
"19","Sbocca Juniors","Fanta Figa",NA,NA,"1","0","1-0","2020/2021"
"23","Aston Pirla","Fanta Figa",NA,NA,"0","4","0-4","2020/2021"
"5","Sbocca Juniors","Fanta Figa",NA,NA,"2","0","2-0","2020/2021"
"9","Aston Pirla","Fanta Figa",NA,NA,"0","0","0-0","2020/2021"
"21","Joe Gage FC","Fanta Figa",NA,NA,"2","3","2-3","2020/2021"
"16","Aston Pirla","Fanta Figa",NA,NA,"3","1","3-1","2020/2021"
"12","Sbocca Juniors","Fanta Figa",NA,NA,"3","8","3-8","2020/2021"
"33","Sbocca Juniors","Fanta Figa",NA,NA,"2","0","2-0","2020/2021"
"2","Aston Pirla","Fanta Figa",NA,NA,"3","1","3-1","2020/2021"
"7","Joe Gage FC","Fanta Figa",NA,NA,"0","2","0-2","2020/2021"
"28","Joe Gage FC","Fanta Figa",NA,NA,"0","0","0-0","2020/2021"
"29","Zoggiathebest99 Team","Fanta Figa",NA,NA,"1","3","1-3","2020/2021"
"26","Sbocca Juniors","Fanta Figa",NA,NA,"4","1","4-1","2020/2021"
"17","Hakimi Raikkonen","Fanta Figa",NA,NA,"3","2","3-2","2020/2021"
"24","Hakimi Raikkonen","Fanta Figa",NA,NA,"6","2","6-2","2020/2021"
"10","Hakimi Raikkonen","Fanta Figa",NA,NA,"3","3","3-3","2020/2021"
"9","Zoggiathebest99 Team","Hakimi Raikkonen",NA,NA,"0","2","0-2","2020/2021"
"5","Joe Gage FC","Hakimi Raikkonen",NA,NA,"3","2","3-2","2020/2021"
"23","Zoggiathebest99 Team","Hakimi Raikkonen",NA,NA,"4","1","4-1","2020/2021"
"12","Joe Gage FC","Hakimi Raikkonen",NA,NA,"5","4","5-4","2020/2021"
"33","Joe Gage FC","Hakimi Raikkonen",NA,NA,"2","5","2-5","2020/2021"
"26","Joe Gage FC","Hakimi Raikkonen",NA,NA,"3","3","3-3","2020/2021"
"27","Aston Pirla","Hakimi Raikkonen",NA,NA,"2","4","2-4","2020/2021"
"13","Aston Pirla","Hakimi Raikkonen",NA,NA,"0","3","0-3","2020/2021"
"16","Zoggiathebest99 Team","Hakimi Raikkonen",NA,NA,"2","1","2-1","2020/2021"
"30","Zoggiathebest99 Team","Hakimi Raikkonen",NA,NA,"2","4","2-4","2020/2021"
"20","Aston Pirla","Hakimi Raikkonen",NA,NA,"2","6","2-6","2020/2021"
"2","Zoggiathebest99 Team","Hakimi Raikkonen",NA,NA,"4","3","4-3","2020/2021"
"19","Joe Gage FC","Hakimi Raikkonen",NA,NA,"2","4","2-4","2020/2021"
"34","Aston Pirla","Hakimi Raikkonen",NA,NA,"4","1","4-1","2020/2021"
"6","Aston Pirla","Hakimi Raikkonen",NA,NA,"1","0","1-0","2020/2021"
"6","Joe Gage FC","Sbocca Juniors",NA,NA,"1","4","1-4","2020/2021"
"14","Aston Pirla","Sbocca Juniors",NA,NA,"4","5","4-5","2020/2021"
"17","Zoggiathebest99 Team","Sbocca Juniors",NA,NA,"3","2","3-2","2020/2021"
"21","Aston Pirla","Sbocca Juniors",NA,NA,"1","0","1-0","2020/2021"
"27","Joe Gage FC","Sbocca Juniors",NA,NA,"4","1","4-1","2020/2021"
"31","Zoggiathebest99 Team","Sbocca Juniors",NA,NA,"1","4","1-4","2020/2021"
"3","Zoggiathebest99 Team","Sbocca Juniors",NA,NA,"2","2","2-2","2020/2021"
"32","Hakimi Raikkonen","Sbocca Juniors",NA,NA,"7","3","7-3","2020/2021"
"35","Aston Pirla","Sbocca Juniors",NA,NA,"1","1","1-1","2020/2021"
"24","Zoggiathebest99 Team","Sbocca Juniors",NA,NA,"4","0","4-0","2020/2021"
"34","Joe Gage FC","Sbocca Juniors",NA,NA,"0","4","0-4","2020/2021"
