"id";player;pos;enne
2544;Abraham;A;1
513;Acerbi;D;0
6646;Adams C.;A;1
5875;Adli;C;0
5784;Aebischer;C;0
2865;Aina;D;1
388;Albiol;D;0
662;Alex Sandro;D;1
4440;Alfonso;P;0
397;Allan;C;1
6207;Almqvist;A;0
5845;Alvarez A.;A;0
5475;Amian;D;1
4719;Ampadu;D;1
4522;Amrabat;C;1
4772;Angelino;D;0
706;Ansaldi;D;0
706;Ansaldi;C;0
2267;Antenucci;A;0
4142;Aouar;C;0
4268;Arnautovic;A;0
4285;Arthur;C;0
295;Asamoah;D;1
5719;Asllani;C;0
761;Audero;P;0
4421;Augello;D;0
4979;Ayhan;D;0
5795;Azmoun;A;0
6231;Azzi;D;0
183;Babacar;A;1
170;Badelj;C;0
5451;Bajrami;C;0
2639;Bakayoko;C;1
5067;Bakker;D;0
5823;Baldanzi;C;0
696;Balotelli;A;1
6001;Banda;A;1
2253;Bandinelli;C;0
2285;Bani;D;0
2172;Barak;C;0
1870;Barella;C;0
2719;Barrow;A;1
5835;Baschirotto;D;0
556;Baselli;C;0
2120;Bastoni;D;0
5332;Bastoni S.;D;0
720;Belec;P;0
4887;Bellanova;D;0
441;Belotti;A;0
6409;Beltran L.;A;0
557;Benassi;C;0
1931;Benatia;D;1
6667;Benedyczak;A;0
2818;Bennacer;C;1
2166;Bentancur;C;0
531;Berardi;C;0
531;Berardi;A;0
2205;Berenguer;C;0
316;Berisha;P;0
2771;Berisha V.;C;0
6666;Bernabe';C;0
184;Bernardeschi;C;0
5694;Beto;A;1
6202;Beukema;D;0
612;Bianchetti;D;0
331;Biglia;C;0
5847;Bijol;D;0
252;Biraghi;D;0
5838;Birindelli;D;0
6217;Bisseck;D;1
771;Boateng;A;1
4420;Bocchetti;D;0
5304;Boer;P;0
2832;Boga;A;1
367;Bonaventura;C;0
505;Bonazzoli;A;0
2192;Bonifazi;D;0
6669;Bonny;A;1
286;Bonucci;D;0
2187;Borini;C;0
5532;Bradaric;D;0
4184;Brekalo;A;0
2788;Bremer;D;1
6213;Brenner;A;1
4947;Brescianini;C;0
265;Brozovic;C;0
1864;Bruno Alves;D;1
546;Bruno Peres;D;1
282;Buffon;P;0
2724;Buongiorno;D;0
5507;Busio;C;1
6039;Cabal;D;1
5786;Cabral;A;1
99;Cacciatore;D;0
2284;Caicedo;A;1
357;Calabria;D;0
1847;Caldara;D;0
4958;Caldirola;D;0
2194;Calhanoglu;C;0
406;Callejon;C;0
406;Callejon;A;0
6519;Camarda;A;0
4436;Cambiaghi;A;0
5520;Cambiaso;D;0
2867;Campbell;A;1
2504;Can;C;0
5500;Cancellieri;A;0
2310;Cancelo;D;0
332;Candreva;C;0
1958;Caprari;A;0
4360;Caprile;P;0
2819;Caputo;A;0
4884;Carles Perez;A;0
5877;Carlos Augusto;D;0
4431;Carnesecchi;P;0
5498;Casale;D;0
2197;Castagne;D;0
NA;Castagne/Cionek;D;0
6226;Castellanos;A;0
2692;Castillejo;A;0
2692;Castillejo;C;0
112;Castro;C;0
6572;Castro S.;A;0
4377;Castrovilli;C;0
333;Cataldi;C;0
5836;Ceesay;A;1
4657;Celik;D;0
1866;Ceppitelli;D;0
4429;Chancellor;D;0
6439;Cheddira;A;1
288;Chiellini;D;0
2002;Chiesa;C;0
2002;Chiesa;A;0
640;Chiriches;D;0
6403;Christensen O.;P;0
4856;Chukwueze;C;1
2243;Ciciretti;C;0
212;Ciofani D.;A;0
4442;Cistana;D;0
5880;Ciurria;C;0
6642;Coco;D;1
2784;Colley;D;1
4923;Colombo;A;0
5878;Colpani;C;0
6884;Conceicao;C;0
509;Consigli;P;0
11;Conti;D;0
1889;Cordaz;P;0
2163;Cornelius;A;0
495;Correa;C;0
495;Correa;A;0
2200;Costa;C;1
5504;Coulibaly L.;C;1
2144;Coulibaly M.;C;1
2178;Cragno;P;0
2759;Criscito;D;0
779;Cristante;C;0
697;Cuadrado;D;1
697;Cuadrado;C;1
2155;Cutrone;A;0
2357;Cyprien;C;1
253;D'ambrosio;D;0
5559;Da Cunha;C;0
2289;Dalbert;D;1
6643;Dallinga;A;0
4242;Dalot;D;0
4978;Damsgaard;C;0
4237;Danilo;D;1
578;Danilo L.;D;1
2525;Darmian;D;0
2521;De Gea;P;0
5995;De Ketelaere;C;0
5995;De Ketelaere;A;0
4428;De Ligt;D;0
1996;De Paul;C;0
22;De Roon;C;0
487;De Silvestri;D;0
322;De Vrij;D;0
5739;De Winter;D;1
643;Defrel;A;1
6629;Dele-Bashiru;C;1
4332;Demiral;D;0
4725;Demme;C;0
6026;Dessers;A;1
472;Destro;A;0
2119;Deulofeu;A;0
1857;Di Francesco;A;0
1926;Di Gennaro;P;0
5876;Di Gregorio;P;0
2816;Di Lorenzo;D;0
2382;Di Maria;A;0
5672;Dia;A;1
4825;Diaz B.;C;0
254;Dimarco;D;0
787;Djimsiti;D;0
2831;Djourou;D;1
5471;Djuric;A;0
1995;Djuricic;C;0
5885;Dodo';D;1
5851;Doig;D;0
