"id","name","p","d","c","a"
"350","Donnarumma G.",1,0,0,0
"453","Szczesny",1,0,0,0
"250","Handanovic",1,0,0,0
"2179","Sirigu",1,0,0,0
"509","Consigli",1,0,0,0
"572","Meret",1,0,0,0
"1934","Strakosha",1,0,0,0
"2178","Cragno",1,0,0,0
"1843","Radu I.",1,0,0,0
"2387","Lafont",1,0,0,0
"2792","Musso",1,0,0,0
"41","Mirante",1,0,0,0
"133","Skorupski",1,0,0,0
"484","Viviano",1,0,0,0
"610","Gollini",1,0,0,0
"761","Audero",1,0,0,0
"2836","Olsen",1,0,0,0
"413","Sorrentino",1,0,0,0
"1917","Dragowski",1,0,0,0
"159","Sepe",1,0,0,0
"316","Berisha",1,0,0,0
"540","Gomis A",1,0,0,0
"2468","Ospina",1,0,0,0
"4","Sportiello",1,0,0,0
"2815","Terracciano",1,0,0,0
"218","Perin",1,0,0,0
"318","Marchetti",1,0,0,0
"387","Reina",1,0,0,0
"570","Karnezis",1,0,0,0
"2814","Provedel",1,0,0,0
"2861","Semper",1,0,0,0
"386","Rafael Cabral",1,0,0,0
"542","Ichazo",1,0,0,0
"574","Scuffet",1,0,0,0
"4325","Jandrei",1,0,0,0
"510","Pegolo",1,0,0,0
"799","Bardi",1,0,0,0
"2170","Milinkovic-Savic V.",1,0,0,0
"40","Da Costa",1,0,0,0
"97","Seculin",1,0,0,0
"216","Donnarumma An.",1,0,0,0
"248","Berni",1,0,0,0
"317","Guerrieri",1,0,0,0
"385","Gabriel",1,0,0,0
"543","Padelli",1,0,0,0
"611","Rafael",1,0,0,0
"673","Perisan",1,0,0,0
"720","Belec",1,0,0,0
"1930","Pinsoglio",1,0,0,0
"1941","Fulignati",1,0,0,0
"1946","Aresti",1,0,0,0
"1970","Tozzo",1,0,0,0
"2091","Plizzari",1,0,0,0
"2127","Satalino",1,0,0,0
"2134","Falcone",1,0,0,0
"2249","Santurro",1,0,0,0
"2256","Poluzzi",1,0,0,0
"2271","Nicolas",1,0,0,0
"2297","Rossi F.",1,0,0,0
"2331","Borsellini",1,0,0,0
"2761","Vodisek",1,0,0,0
"2770","Proto",1,0,0,0
"2781","Fuzato",1,0,0,0
"2790","Rosati",1,0,0,0
"2798","Dini",1,0,0,0
"2799","Frattali",1,0,0,0
"2845","Contini",1,0,0,0
"2862","Iacobucci",1,0,0,0
"2874","Ghidotti",1,0,0,0
"2875","Bagheria",1,0,0,0
"4328","Perucchini",1,0,0,0
"4336","Brazao",1,0,0,0
"4351","Brancolini",1,0,0,0
"392","Koulibaly",0,1,0,0
"2214","Kolarov",0,1,0,0
"226","Izzo",0,1,0,0
"322","De Vrij",0,1,0,0
"662","Alex Sandro",0,1,0,0
"706","Ansaldi",0,1,1,0
"798","Skriniar",0,1,0,0
"2288","N'koulou",0,1,0,0
"288","Chiellini",0,1,0,0
"460","Romagnoli",0,1,0,0
"464","Florenzi",0,1,0,0
"487","De Silvestri",0,1,0,0
"513","Acerbi",0,1,0,0
"2130","Hateboer",0,1,0,0
"2160","Gosens",0,1,0,0
"2296","Mancini",0,1,0,0
"286","Bonucci",0,1,0,0
"459","Manolas",0,1,0,0
"578","Danilo Lar.",0,1,0,0
"695","Toloi",0,1,0,0
"2016","Fazio",0,1,0,0
"2197","Castagne",0,1,0,0
"2816","Di Lorenzo",0,1,0,0
"295","Asamoah",0,1,0,0
"523","Vrsaljko",0,1,0,0
"2006","Lirola",0,1,0,0
"2309","Pezzella Ger.",0,1,0,0
"2310","Cancelo",0,1,0,0
"2759","Criscito",0,1,0,0
"253","D'ambrosio",0,1,0,0
"388","Albiol",0,1,0,0
"492","Silvestre",0,1,0,0
"708","Felipe",0,1,0,0
"1895","Ferrari G.",0,1,0,0
"2164","Milenkovic",0,1,0,0
"2168","Musacchio",0,1,0,0
"2320","Andersen",0,1,0,0
"2860","Malcuit",0,1,0,0
"4332","Demiral",0,1,0,0
"15","Masiello",0,1,0,0
"142","Mario Rui",0,1,0,0
"252","Biraghi",0,1,0,0
"390","Ghoulam",0,1,0,0
"1864","Bruno Alves",0,1,0,0
"2169","Rodriguez R.",0,1,0,0
"2181","Palomino",0,1,0,0
"2261","Vicari",0,1,0,0
"2315","Stryger Larsen",0,1,0,0
"2746","Dijks",0,1,0,0
"2865","Aina",0,1,0,0
"4307","Romero",0,1,0,0
"73","Gagliolo",0,1,0,0
"140","Hysaj",0,1,0,0
"224","De Maio",0,1,0,0
"357","Calabria",0,1,0,0
"358","De Sciglio",0,1,0,0
"790","Samir",0,1,0,0
"1866","Ceppitelli",0,1,0,0
"1868","Murru",0,1,0,0
"1869","Pisacane",0,1,0,0
"2083","Biraschi",0,1,0,0
"2120","Bastoni",0,1,0,0
"2192","Bonifazi",0,1,0,0
"2279","Romagna",0,1,0,0
"2280","Nuytinck",0,1,0,0
"2749","Srna",0,1,0,0
"50","Mbaye",0,1,0,0
"106","Mattiello",0,1,0,0
"144","Tonelli",0,1,0,0
"166","Pasqual",0,1,0,0
"256","Juan Jesus",0,1,0,0
"257","Miranda",0,1,0,0
"294","Rugani",0,1,0,0
"329","Radu",0,1,0,0
"353","Abate",0,1,0,0
"491","Salamon",0,1,0,0
"519","Gazzola",0,1,0,0
"552","Moretti",0,1,0,0
"780","Cionek",0,1,0,0
"787","Djimsiti",0,1,0,0
"1876","Pajac",0,1,0,0
"1931","Benatia",0,1,0,0
"1952","Zampano",0,1,0,0
"2062","Bastos",0,1,0,0
"2116","Farago'",0,1,1,0
"2165","Vitor Hugo",0,1,0,0
"2171","Lyanco",0,1,0,0
"2285","Bani",0,1,0,0
"2335","Luiz Felipe",0,1,0,0
"2355","Marlon",0,1,0,0
"2769","Magnani",0,1,0,0
"2784","Colley",0,1,0,0
"2801","Iacoponi",0,1,0,0
"2869","Djidji",0,1,0,0
"2870","Troost-Ekong",0,1,0,0
"48","Maietta",0,1,0,0
"54","Rossettini",0,1,0,0
"99","Cacciatore",0,1,0,0
"134","Barba",0,1,0,0
"254","Dimarco",0,1,0,0
"273","Schelotto",0,1,0,0
"418","Goldaniga",0,1,0,0
"493","Zukanovic",0,1,0,0
"515","Ariaudo",0,1,0,0
"517","Dell'orco",0,1,0,0
"521","Peluso",0,1,0,0
"522","Terranova",0,1,0,0
"550","Maksimovic",0,1,0,0
"630","Sala",0,1,0,0
"1847","Caldara",0,1,0,0
"1852","Spinazzola",0,1,0,0
"1865","Capuano",0,1,0,0
"1891","Ceccherini",0,1,0,0
"2064","Veseli",0,1,0,0
"2104","Bereszynski",0,1,0,0
"2208","Jaroszynski",0,1,0,0
"2318","Rogerio",0,1,0,0
"2535","Cedric Soares",0,1,0,0
"2728","Pellegrini Lu.",0,1,0,0
"2795","Ter Avest",0,1,0,0
"2871","Klavan",0,1,0,0
"11","Conti",0,1,0,0
"76","Romagnoli S.",0,1,0,0
"100","Cesar",0,1,0,0
"287","Caceres",0,1,0,0
"356","Antonelli",0,1,0,0
"365","Zapata C.",0,1,0,0
"419","Gonzalez G",0,1,0,0
"551","Molinaro",0,1,0,0
"615","Helander",0,1,0,0
"729","Pereira P.",0,1,0,0
"2745","Calabresi",0,1,0,0
"2782","Marcano",0,1,0,0
"2831","Djourou",0,1,0,0
"141","Laurini",0,1,0,0
"169","Tomovic",0,1,0,0
"194","Ciofani M",0,1,0,0
