"player","coach","team","season","price","pos","id"
"Consigli","Albe","Aston Pirla","2018/2019",NA,"P",509
"Olsen","Albe","Aston Pirla","2018/2019",NA,"P",2836
NA,"Albe","Aston Pirla","2018/2019",NA,"P",NA
"Malcuit","Albe","Aston Pirla","2018/2019",NA,"D",2860
"Mancini","Albe","Aston Pirla","2018/2019",NA,"D",2296
"Marlon","Albe","Aston Pirla","2018/2019",NA,"D",2355
"De Vrij","Albe","Aston Pirla","2018/2019",NA,"D",322
"Murillo","Albe","Aston Pirla","2018/2019",NA,"D",259
"Ghoulam","Albe","Aston Pirla","2018/2019",NA,"D",390
"Conti","Albe","Aston Pirla","2018/2019",NA,"D",11
"Castagne/Cionek","Albe","Aston Pirla","2018/2019",NA,"D",NA
"Matuidi","Albe","Aston Pirla","2018/2019",NA,"C",2306
"Dzemaili","Albe","Aston Pirla","2018/2019",NA,"C",713
"Milinkovic-Savic","Albe","Aston Pirla","2018/2019",NA,"C",645
"Ruiz","Albe","Aston Pirla","2018/2019",NA,"C",2775
"Joao Pedro","Albe","Aston Pirla","2018/2019",NA,"C",1874
"Khedira","Albe","Aston Pirla","2018/2019",NA,"C",299
"Berardi","Albe","Aston Pirla","2018/2019",NA,"C",531
"Kucka/Linetty","Albe","Aston Pirla","2018/2019",NA,"C",NA
"Boateng","Albe","Aston Pirla","2018/2019",NA,"A",771
"Gervinho","Albe","Aston Pirla","2018/2019",NA,"A",474
"Mandzukic","Albe","Aston Pirla","2018/2019",NA,"A",312
"Barrow","Albe","Aston Pirla","2018/2019",NA,"A",2719
"Mirallas","Albe","Aston Pirla","2018/2019",NA,"A",2859
"Higuain","Albe","Aston Pirla","2018/2019","160","A",408
"Strakosha","Albe","Aston Pirla","2019/2020",NA,"P",1934
"Musso","Albe","Aston Pirla","2019/2020",NA,"P",2792
NA,"Albe","Aston Pirla","2019/2020",NA,"P",NA
"Florenzi","Albe","Aston Pirla","2019/2020",NA,"D",464
"Duarte","Albe","Aston Pirla","2019/2020",NA,"D",4511
"Musacchio","Albe","Aston Pirla","2019/2020",NA,"D",2168
"Romagnoli","Albe","Aston Pirla","2019/2020",NA,"D",460
"Ferrari G.","Albe","Aston Pirla","2019/2020",NA,"D",1895
"Klavan","Albe","Aston Pirla","2019/2020",NA,"D",2871
"Darmian","Albe","Aston Pirla","2019/2020",NA,"D",2525
"Radu","Albe","Aston Pirla","2019/2020",NA,"D",329
"Pastore","Albe","Aston Pirla","2019/2020",NA,"C",2378
"Papu Gomez","Albe","Aston Pirla","2019/2020",NA,"C",26
"Calhanoglu","Albe","Aston Pirla","2019/2020",NA,"C",2194
"Malinovskyi","Albe","Aston Pirla","2019/2020",NA,"C",4427
"Pasalic","Albe","Aston Pirla","2019/2020",NA,"C",2077
"Zaccagni","Albe","Aston Pirla","2019/2020",NA,"C",632
"Bonaventura","Albe","Aston Pirla","2019/2020",NA,"C",367
"Valoti","Albe","Aston Pirla","2019/2020",NA,"C",2274
"Karamoh","Albe","Aston Pirla","2019/2020",NA,"A",2325
"Piatek","Albe","Aston Pirla","2019/2020",NA,"A",2756
"Muriel","Albe","Aston Pirla","2019/2020",NA,"A",507
"Barrow","Albe","Aston Pirla","2019/2020",NA,"A",2719
"Rebic","Albe","Aston Pirla","2019/2020",NA,"A",186
"Ilicic","Albe","Aston Pirla","2019/2020",NA,"A",177
"Silvestri","Albe","Aston Pirla","2020/2021","9","P",2211
"Musso","Albe","Aston Pirla","2020/2021","9","P",2792
"Cragno","Albe","Aston Pirla","2020/2021","5","P",2178
"Hernandez T.","Albe","Aston Pirla","2020/2021","46","D",4292
"Cuadrado","Albe","Aston Pirla","2020/2021","19","D",697
"Spinazzola","Albe","Aston Pirla","2020/2021","15","D",1852
"Ibanez","Albe","Aston Pirla","2020/2021","7","D",4331
"Romero","Albe","Aston Pirla","2020/2021","5","D",4307
"Lirola","Albe","Aston Pirla","2020/2021","1","D",2006
"Stryger Larsen","Albe","Aston Pirla","2020/2021","1","D",2315
"Hickey","Albe","Aston Pirla","2020/2021","3","D",5300
"Papu Gomez","Albe","Aston Pirla","2020/2021","60","C",26
"Luis Alberto","Albe","Aston Pirla","2020/2021","47","C",2085
"Ramsey","Albe","Aston Pirla","2020/2021","13","C",2472
"Lazovic","Albe","Aston Pirla","2020/2021","5","C",236
"Freuler","Albe","Aston Pirla","2020/2021","1","C",788
"Tonali","Albe","Aston Pirla","2020/2021","1","C",4449
"Gojak","Albe","Aston Pirla","2020/2021","1","C",5328
"Vulic","Albe","Aston Pirla","2020/2021","1","C",5002
"Ibrahimovic","Albe","Aston Pirla","2020/2021","230","A",2530
"Kalinic","Albe","Aston Pirla","2020/2021","3","A",652
"Lasagna","Albe","Aston Pirla","2020/2021","1","A",90
