"id","pos","name","team","matches","MV","FMV","goals","allowed","saved","penalties","scored","missed","assist","yellow","red","own","season"
350,"P","Donnarumma G.","Milan",35,6.33,5.47,0,31,1,0,0,0,0,4,0,0,"2018/2019"
453,"P","Szczesny","Juventus",28,6.14,5.54,0,20,1,0,0,0,0,0,0,0,"2018/2019"
250,"P","Handanovic","Inter",38,6.18,5.32,0,33,0,0,0,0,0,0,0,0,"2018/2019"
2179,"P","Sirigu","Torino",36,6.35,5.53,0,35,2,0,0,0,0,1,0,0,"2018/2019"
509,"P","Consigli","Sassuolo",36,6.25,4.89,0,56,3,0,0,0,0,2,1,0,"2018/2019"
572,"P","Meret","Napoli",14,6.18,5.46,0,9,0,0,0,0,0,0,1,0,"2018/2019"
1934,"P","Strakosha","Lazio",35,6.17,5.09,0,39,1,0,0,0,0,4,0,0,"2018/2019"
2178,"P","Cragno","Cagliari",38,6.45,5.17,0,54,2,0,0,0,0,1,0,0,"2018/2019"
1843,"P","Radu I.","Genoa",33,6.3,5,0,46,1,0,0,0,0,0,0,0,"2018/2019"
2387,"P","Lafont","Fiorentina",34,6.01,4.84,0,40,1,0,0,0,0,2,0,1,"2018/2019"
2792,"P","Musso","Udinese",29,6.26,4.81,0,40,0,0,0,0,0,4,0,0,"2018/2019"
41,"P","Mirante","Roma",11,6.55,6.27,0,6,1,0,0,0,0,0,0,0,"2018/2019"
133,"P","Skorupski","Bologna",38,6.11,4.62,0,56,0,0,0,0,0,1,0,0,"2018/2019"
484,"P","Viviano","SPAL",17,6.29,4.82,0,25,0,0,0,0,0,0,0,0,"2018/2019"
610,"P","Gollini","Atalanta",20,6.22,5.15,0,21,0,0,0,0,0,1,0,0,"2018/2019"
761,"P","Audero","Sampdoria",36,6.04,4.65,0,51,1,0,0,0,0,4,0,0,"2018/2019"
2836,"P","Olsen","Roma",27,6,4.41,0,42,0,0,0,0,0,2,0,0,"2018/2019"
413,"P","Sorrentino","Chievo",31,6.29,4.52,0,60,2,0,0,0,0,2,0,0,"2018/2019"
1917,"P","Dragowski","Empoli",17,6.44,5.03,0,26,1,0,0,0,0,2,0,0,"2018/2019"
159,"P","Sepe","Parma",37,6.09,4.43,0,59,0,0,0,0,0,1,0,1,"2018/2019"
316,"P","Berisha","Atalanta",18,5.97,4.56,0,25,0,0,0,0,0,1,0,0,"2018/2019"
540,"P","Gomis A","SPAL",20,6.05,4.7,0,27,0,0,0,0,0,0,0,0,"2018/2019"
2468,"P","Ospina","Napoli",17,6.06,4.88,0,20,0,0,0,0,0,0,0,0,"2018/2019"
4,"P","Sportiello","Frosinone",35,6.11,4.21,0,64,0,0,0,0,0,5,0,0,"2018/2019"
2815,"P","Terracciano","Fiorentina",10,6.35,5.05,0,13,0,0,0,0,0,0,0,0,"2018/2019"
218,"P","Perin","Juventus",9,5.89,4.94,0,8,0,0,0,0,0,1,0,0,"2018/2019"
318,"P","Marchetti","Genoa",4,5.75,3.12,0,10,0,0,0,0,0,1,0,0,"2018/2019"
387,"P","Reina","Milan",4,6.38,5.12,0,5,0,0,0,0,0,0,0,0,"2018/2019"
570,"P","Karnezis","Napoli",9,6.11,5.33,0,7,0,0,0,0,0,0,0,0,"2018/2019"
2814,"P","Provedel","Empoli",16,5.84,3.59,0,36,0,0,0,0,0,0,0,0,"2018/2019"
2861,"P","Semper","Chievo",6,6.25,4.92,0,8,0,0,0,0,0,0,0,0,"2018/2019"
386,"P","Rafael Cabral","Sampdoria",2,6,6,0,0,0,0,0,0,0,0,0,0,"2018/2019"
542,"P","Ichazo","Torino",3,5.67,5,0,2,0,0,0,0,0,0,0,0,"2018/2019"
574,"P","Scuffet","Udinese",9,6.11,4.67,0,13,0,0,0,0,0,0,0,0,"2018/2019"
4325,"P","Jandrei","Genoa",1,6.5,5.5,0,1,0,0,0,0,0,0,0,0,"2018/2019"
510,"P","Pegolo","Sassuolo",3,6,4.5,0,4,0,0,0,0,0,1,0,0,"2018/2019"
799,"P","Bardi","Frosinone",3,6,4.33,0,5,0,0,0,0,0,0,0,0,"2018/2019"
2170,"P","Milinkovic-Savic V.","SPAL",2,5.75,3.25,0,4,0,0,0,0,0,0,1,0,"2018/2019"
40,"P","Da Costa","Bologna",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
97,"P","Seculin","Chievo",2,5.75,2.25,0,7,0,0,0,0,0,0,0,0,"2018/2019"
216,"P","Donnarumma An.","Milan",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
248,"P","Berni","Inter",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
317,"P","Guerrieri","Lazio",1,5.5,2.5,0,3,0,0,0,0,0,0,0,0,"2018/2019"
385,"P","Gabriel","Milan",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
543,"P","Padelli","Inter",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
611,"P","Rafael","Cagliari",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
673,"P","Perisan","Udinese",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
720,"P","Belec","Sampdoria",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
1930,"P","Pinsoglio","Juventus",1,5.5,3.5,0,2,0,0,0,0,0,0,0,0,"2018/2019"
1941,"P","Fulignati","SPAL",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
1946,"P","Aresti","Cagliari",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
1970,"P","Tozzo","Sampdoria",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2091,"P","Plizzari","Milan",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2127,"P","Satalino","Sassuolo",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2134,"P","Falcone","Sampdoria",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2249,"P","Santurro","Bologna",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2256,"P","Poluzzi","SPAL",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2271,"P","Nicolas","Udinese",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2297,"P","Rossi F.","Atalanta",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2331,"P","Borsellini","Udinese",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2761,"P","Vodisek","Genoa",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2770,"P","Proto","Lazio",2,6,3.75,0,4,0,0,0,0,0,1,0,0,"2018/2019"
2781,"P","Fuzato","Roma",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2790,"P","Rosati","Torino",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2798,"P","Dini","Parma",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2799,"P","Frattali","Parma",1,6.5,4.5,0,2,0,0,0,0,0,0,0,0,"2018/2019"
2845,"P","Contini","Napoli",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2862,"P","Iacobucci","Frosinone",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2874,"P","Ghidotti","Fiorentina",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
2875,"P","Bagheria","Parma",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
4328,"P","Perucchini","Empoli",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
4336,"P","Brazao","Parma",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
4351,"P","Brancolini","Fiorentina",0,0,0,0,0,0,0,0,0,0,0,0,0,"2018/2019"
392,"D","Koulibaly","Napoli",35,6.27,6.31,2,0,0,0,0,0,1,9,1,0,"2018/2019"
2214,"D","Kolarov","Roma",33,6.06,6.7,8,0,0,3,3,0,1,6,1,0,"2018/2019"
